443	461	443
443	462	443,1314
443	463	443,1258,1314
443	464	443,2793
443	465	443,1258
473	466	473
483	467	483
487	468	487,1086
487	469	487,531
487	470	487
487	471	487,1077
490	472	490
490	473	490
490	474	490
491	475	491,699
496	476	496,2072,3153
496	477	496
496	478	496
496	479	496
496	480	496
499	481	499
501	482	501
509	483	509
528	484	528
530	485	530,971,2917,2919,2929,2930
530	486	530,2919
530	487	530
530	488	530,2919,2921
530	489	530
530	490	530,971,2943
531	491	531,1715
531	492	531,1077
531	493	531
531	494	531
532	495	532
532	496	532
534	497	534,1231,1823,2193
536	498	536,576
536	499	536,576
536	500	536,913
536	501	536
536	502	536
541	503	541
542	504	542
542	505	542
542	506	542,2235,2962
543	507	543,1088
543	508	543
543	509	543
543	510	543,1604,2063
543	511	543,1005,1418
550	512	550
550	513	550
551	514	551,773,2107
551	515	551,1846
551	516	551,674,904,3646
555	517	555
555	518	555,2698
555	519	555
555	520	555,2698
555	521	555
555	522	555
555	523	555
555	524	555,1523,2698
555	525	555
558	526	558
558	527	558
571	528	571,891,1437
571	529	571
571	530	571
571	531	571
572	532	572
572	533	572,1144
572	534	572
572	535	572,2150,2246
576	536	576
576	537	576
576	538	576
576	539	576
583	540	583,1673
583	541	583,1673
583	542	583
583	543	583
583	544	583
583	545	583
588	546	588
588	547	588
588	548	588
588	549	588,995
588	550	588
588	551	588
589	552	589
589	553	589
589	554	589
589	555	589
589	556	589
589	557	589
589	558	589
589	559	589
589	560	589
589	561	589
589	562	589,1327,1338
589	563	589
594	564	594
594	565	594
598	566	598
598	567	598
598	568	598
599	569	599
599	570	599
599	571	599
599	572	599
599	573	599
603	574	603
603	575	603
606	576	606
606	577	606
616	578	616,3505
616	579	616
623	580	623,1137
623	581	623,1032,1137
623	582	623
623	583	623
623	584	623,934,1005
631	585	631,986
631	586	631,986
631	587	631
632	588	632
632	589	632,889,1555
632	590	632
632	591	632
632	592	632
632	593	632
632	594	632
633	595	633
633	596	633
633	597	633
633	598	633
640	599	640
642	600	642
642	601	642,700,769
654	602	654,1029
654	603	654,1029,1410
654	604	654,1029,1193,3583
654	605	654,3583
670	606	670,858
670	607	670,2054,2546
670	608	670
672	609	672,1185
672	610	672
673	611	673,713,1241
674	612	674,904,2496
674	613	674,839,904,1508,1509,1513,1514,2107,2388,2775,3504
683	614	683
683	615	683
683	616	683
683	617	683,2698
683	618	683
683	619	683,2821
686	620	686
687	621	687
687	622	687,915
687	623	687,915
691	624	691,1049
691	625	691
699	626	699,1086
699	627	699
700	628	700,902
700	629	700,1120
700	630	700
702	631	702
702	632	702,858
706	633	706,1643,2196
706	634	706,2196
706	635	706,2388
706	636	706,2216
710	637	710
710	638	710,974,1042
710	639	710
710	640	710
710	641	710,974,978,1042,1116
710	642	710,987
710	643	710,773,1042,1645,2216
710	644	710
710	645	710
710	646	710,974,1717,1832,2359
713	647	713,1321
716	648	716
736	649	736,986
736	650	736
746	651	746
746	652	746
759	653	759
768	654	768,1139
769	655	769
769	656	769
771	657	771
771	658	771
771	659	771
772	660	772
772	661	772,788
772	662	772,788
773	663	773,1646,3316
773	664	773
773	665	773,1906
774	666	774,3300
774	667	774
774	668	774
774	669	774,3263
774	670	774
774	671	774
778	672	778,870
781	673	781,1263
781	674	781
788	675	788
788	676	788
788	677	788
795	678	795
796	679	796
796	680	796
804	681	804,821,1756
804	682	804,821
804	683	804,821
809	684	809
809	685	809,885
809	686	809
809	687	809
809	688	809
809	689	809
815	690	815
815	691	815,3116
815	692	815,3365
815	693	815,3365
816	694	816
816	695	816
817	696	817
820	697	820
820	698	820
821	699	821
821	700	821,1793,1799
821	701	821,1756
825	702	825
825	703	825,1105,1536
832	704	832
832	705	832
832	706	832,2100
832	707	832
838	708	838
839	709	839,1555
839	710	839,1514,1891,2775
845	711	845,2871
845	712	845
845	713	845
845	714	845
858	715	858
858	716	858,1418
858	717	858
858	718	858,1193
861	719	861
861	720	861
861	721	861
861	722	861
861	723	861,1998
864	724	864
864	725	864
864	726	864
870	727	870,1603,2793
870	728	870
870	729	870,1024,1440,1462
872	730	872
872	731	872
875	732	875,3524
875	733	875
875	734	875,1279
879	735	879
879	736	879,3750
879	737	879
879	738	879
885	739	885,939,2295
885	740	885
885	741	885
886	742	886
886	743	886
886	744	886
887	745	887
887	746	887
887	747	887,1081
887	748	887
890	749	890
891	750	891
891	751	891
891	752	891
893	753	893
893	754	893
893	755	893
894	756	894
895	757	895,1906
895	758	895,2246
895	759	895
895	760	895,1511
895	761	895
895	762	895
895	763	895,2075,3153,3154
907	764	907,1517
907	765	907,1511
907	766	907,3686
907	767	907,1891
911	768	911,3113
911	769	911,3113
911	770	911,1395,3113
911	771	911,3113
913	772	913
925	773	925,1231,1292
925	774	925
925	775	925,1292
934	776	934
